MA0001	StringComparison is missing
MA0186	Equals method should use [NotNullWhen(true)] on the parameter
MA0187	Use constructor injection instead of [Inject] attribute
MA0188	Use System.TimeProvider instead of a custom time abstraction
MA0189	Use InlineArray instead of fixed-size buffers
MA0190	Use partial property instead of partial method for GeneratedRegex
MA0191	Do not use the null-forgiving operator
MA0192	Use HasFlag instead of bitwise checks
MA0193	Use an overload with a MidpointRounding argument
MA0194	Merge is expressions on the same value
MA0195	Do not use static fields before they are initialized
MA0196	Do not use inheritdoc on non-inheriting members
MA0197	Add dedicated documentation on types
MA0198	Specify cref for ambiguous inheritdoc on types
MA0199	Do not use inheritdoc on types without inheritance source
MA0200	Do not use empty property patterns with non-nullable value types
MA0201	Do not use zero-valued enum flags in flag checks
MA0202	Conditional compilation branches have identical code
MA0203	Do not use return tag for void method
MA0204	Remove unnecessary partial modifier
MA0205	Use exclusive or operator
MA0206	Remove unnecessary braces in type declaration
MA0207	[FixedAddressValueType] fields must be static
MA0208	[FixedAddressValueType] fields must be value types
MA0209	Use in keyword for in parameter
MA0210	Use in keyword to call the in overload
MA0211	Use multi-line syntax for XML summary comments
